Date,Average_Price
01/01/2017,123.16
01/02/2017,123.16
01/03/2017,123.95
01/04/2017,124.5
01/05/2017,124.9
01/06/2017,122.36
01/07/2017,122.26
01/08/2017,122.26
01/09/2017,122.15
01/10/2017,121.74
01/11/2017,123.76
01/12/2017,122.59
01/13/2017,123.96
01/14/2017,124.5
01/15/2017,124.5
01/16/2017,125.04
01/17/2017,125.68
01/18/2017,123.94
01/19/2017,124.49
01/20/2017,124.76
01/21/2017,124.76
01/22/2017,124.76
01/23/2017,125.03
01/24/2017,121.88
01/25/2017,125.74
01/26/2017,124.64
01/27/2017,124.64
01/28/2017,124.64
01/29/2017,124.64
01/30/2017,124.64
01/31/2017,124.64
02/01/2017,124.64
02/02/2017,123.54
02/03/2017,121.83
02/04/2017,123.02
02/05/2017,123.02
02/06/2017,124.2
02/07/2017,124.37
02/08/2017,124.22
02/09/2017,123.45
02/10/2017,124.48
02/11/2017,124.58
02/12/2017,124.58
02/13/2017,124.68
02/14/2017,122.42
02/15/2017,124.35
02/16/2017,125.84
02/17/2017,124.28
02/18/2017,124.78
02/19/2017,124.78
02/20/2017,125.27
02/21/2017,121.98
02/22/2017,125.89
02/23/2017,123.14
02/24/2017,123.18
02/25/2017,122.86
02/26/2017,122.86
02/27/2017,122.54
02/28/2017,125.87
03/01/2017,108.81
03/02/2017,107.8
03/03/2017,106.29
03/04/2017,108.22
03/05/2017,108.22
03/06/2017,110.15
03/07/2017,107.07
03/08/2017,106.12
03/09/2017,107.32
03/10/2017,106.14
03/11/2017,106.86
03/12/2017,106.86
03/13/2017,107.57
03/14/2017,109.19
03/15/2017,106.23
03/16/2017,106.92
03/17/2017,109.8
03/18/2017,108.19
03/19/2017,108.19
03/20/2017,106.58
03/21/2017,107.84
03/22/2017,106.81
03/23/2017,109.01
03/24/2017,106.74
03/25/2017,106.6
03/26/2017,106.6
03/27/2017,106.46
03/28/2017,109.33
03/29/2017,106.81
03/30/2017,107.17
03/31/2017,110.43
04/01/2017,104.45
04/02/2017,104.45
04/03/2017,98.47
04/04/2017,97.49
04/05/2017,99.11
04/06/2017,99.12
04/07/2017,100.74
04/08/2017,100.14
04/09/2017,100.14
04/10/2017,99.53
04/11/2017,97.91
04/12/2017,100.55
04/13/2017,99.08
04/14/2017,98.14
04/15/2017,98.86
04/16/2017,98.86
04/17/2017,99.58
04/18/2017,99.36
04/19/2017,97.86
04/20/2017,96.19
04/21/2017,100.21
04/22/2017,99.73
04/23/2017,99.73
04/24/2017,99.25
04/25/2017,96.45
04/26/2017,97.57
04/27/2017,100.84
04/28/2017,99.38
04/29/2017,95.28
04/30/2017,95.28
05/01/2017,95.28
05/02/2017,95.28
05/03/2017,91.18
05/04/2017,92.16
05/05/2017,91.4
05/06/2017,91.75
05/07/2017,91.75
05/08/2017,92.1
05/09/2017,93.87
05/10/2017,92.52
05/11/2017,90.01
05/12/2017,89.01
05/13/2017,90.43
05/14/2017,90.43
05/15/2017,91.85
05/16/2017,90.01
05/17/2017,93.11
05/18/2017,91.79
05/19/2017,90.22
05/20/2017,91.07
05/21/2017,91.07
05/22/2017,91.91
05/23/2017,91.38
05/24/2017,91.87
05/25/2017,90.26
05/26/2017,92.92
05/27/2017,91.41
05/28/2017,91.41
05/29/2017,89.89
05/30/2017,92.04
05/31/2017,90.26
06/01/2017,91.15
06/02/2017,89.24
06/03/2017,91.34
06/04/2017,91.34
06/05/2017,93.44
06/06/2017,91.01
06/07/2017,93.32
06/08/2017,90.97
06/09/2017,93.92
06/10/2017,92.17
06/11/2017,92.17
06/12/2017,90.42
06/13/2017,89.53
06/14/2017,91.61
06/15/2017,93.36
06/16/2017,93.42
06/17/2017,92.74
06/18/2017,92.74
06/19/2017,92.06
06/20/2017,93.79
06/21/2017,91.41
06/22/2017,90.9
06/23/2017,93.97
06/24/2017,93.82
06/25/2017,93.82
06/26/2017,93.67
06/27/2017,92.76
06/28/2017,90.23
06/29/2017,89.27
06/30/2017,91.78
07/01/2017,95.68
07/02/2017,95.68
07/03/2017,99.57
07/04/2017,99.08
07/05/2017,101.12
07/06/2017,97.99
07/07/2017,99.4
07/08/2017,100.17
07/09/2017,100.17
07/10/2017,100.94
07/11/2017,101.32
07/12/2017,99.93
07/13/2017,98.01
07/14/2017,99.79
07/15/2017,98.7
07/16/2017,98.7
07/17/2017,97.61
07/18/2017,100.17
07/19/2017,101.03
07/20/2017,98.51
07/21/2017,98.32
07/22/2017,99.87
07/23/2017,99.87
07/24/2017,101.41
07/25/2017,101.35
07/26/2017,97.69
07/27/2017,99.44
07/28/2017,98.52
07/29/2017,98.85
07/30/2017,98.85
07/31/2017,99.17
08/01/2017,96.64
08/02/2017,96.62
08/03/2017,95.46
08/04/2017,95.74
08/05/2017,98.85
08/06/2017,98.85
08/07/2017,94.49
08/08/2017,96.41
08/09/2017,95.63
08/10/2017,97.22
08/11/2017,97.44
08/12/2017,95.12
08/13/2017,95.12
08/14/2017,98.45
08/15/2017,96.62
08/16/2017,96.31
08/17/2017,98.25
08/18/2017,95.89
08/19/2017,94.96
08/20/2017,94.96
08/21/2017,94.02
08/22/2017,95.77
08/23/2017,96.6
08/24/2017,97.82
08/25/2017,97.99
08/26/2017,98.48
08/27/2017,98.48
08/28/2017,98.96
08/29/2017,97.96
08/30/2017,94.5
08/31/2017,95.99
09/01/2017,97.66
09/02/2017,98.37
09/03/2017,98.37
09/04/2017,98.37
09/05/2017,99.08
09/06/2017,98.25
09/07/2017,97.67
09/08/2017,98.59
09/09/2017,97.94
09/10/2017,97.94
09/11/2017,97.28
09/12/2017,96.93
09/13/2017,95.94
09/14/2017,96.12
09/15/2017,96.54
09/16/2017,98.15
09/17/2017,98.15
09/18/2017,99.76
09/19/2017,97.36
09/20/2017,96.78
09/21/2017,96.09
09/22/2017,99.06
09/23/2017,98
09/24/2017,98
09/25/2017,96.94
09/26/2017,99.27
09/27/2017,95.01
09/28/2017,99.9
09/29/2017,97.46
09/30/2017,98.13
10/01/2017,98.13
10/02/2017,98.8
10/03/2017,100.84
10/04/2017,97.93
10/05/2017,96.27
10/06/2017,97.57
10/07/2017,98.71
10/08/2017,98.71
10/09/2017,99.85
10/10/2017,98.54
10/11/2017,98.37
10/12/2017,100.78
10/13/2017,99.86
10/14/2017,100.39
10/15/2017,100.39
10/16/2017,100.92
10/17/2017,96.22
10/18/2017,96.03
10/19/2017,98.14
10/20/2017,96.55
10/21/2017,98.13
10/22/2017,98.13
10/23/2017,99.7
10/24/2017,96.01
10/25/2017,99.33
10/26/2017,96.14
10/27/2017,97.07
10/28/2017,98.16
10/29/2017,98.16
10/30/2017,99.24
10/31/2017,97
11/01/2017,100.89
11/02/2017,99.34
11/03/2017,100.76
11/04/2017,99.03
11/05/2017,99.03
11/06/2017,97.29
11/07/2017,100.09
11/08/2017,97.23
11/09/2017,97.93
11/10/2017,99.11
11/11/2017,98.52
11/12/2017,98.52
11/13/2017,97.92
11/14/2017,100.06
11/15/2017,99.97
11/16/2017,98.58
11/17/2017,101.94
11/18/2017,99.77
11/19/2017,99.77
11/20/2017,97.6
11/21/2017,100.84
11/22/2017,98.97
11/23/2017,98.06
11/24/2017,100.07
11/25/2017,98.92
11/26/2017,98.92
11/27/2017,97.77
11/28/2017,97.03
11/29/2017,97.46
11/30/2017,101.02
12/01/2017,103.66
12/02/2017,103.19
12/03/2017,103.19
12/04/2017,102.71
12/05/2017,103.8
12/06/2017,104.12
12/07/2017,103.96
12/08/2017,104.69
12/09/2017,103.07
12/10/2017,103.07
12/11/2017,101.45
12/12/2017,104.55
12/13/2017,104.03
12/14/2017,105.63
12/15/2017,105.4
12/16/2017,103.85
12/17/2017,103.85
12/18/2017,102.29
12/19/2017,103.14
12/20/2017,103.88
12/21/2017,104.83
12/22/2017,104.42
12/23/2017,104.1
12/24/2017,104.1
12/25/2017,103.78
12/26/2017,101.26
12/27/2017,101.97
12/28/2017,105.25
12/29/2017,103.83
12/30/2017,100.09
12/31/2017,100.09
01/01/2018,100.09
01/02/2018,96.35
01/03/2018,98.5
01/04/2018,97.35
01/05/2018,97.58
01/06/2018,97.73
01/07/2018,97.73
